Sl. Number,Exhibitors Name,Buisness Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
122,Quantum Edge Distribution,IT Distribution & System Integration,"Cloud & AI solutions, cybersecurity, networking, emergency response systems",$4.3M,Aaron Terry,Srikanth Kanduri,"Dubai, UAE","Hospitality, banking, healthcare, public sector"
123,"Raisecom Technology Co., Ltd.",Telecom Access & Optical Networking,"Carrier Ethernet, GPON/EPON, PTN, OTN, industrial switches, IoT gateways",$1.19B,Li Yuejie,Von Chia,"Beijing, China","China Telecom, China Mobile, global ISPs"
124,Reach Digital L.L.C,Digital Transformation & IT Services,"AI, cloud, cybersecurity, mobility, big data, custom development",,Archit Batlaw,Rahul Issar,"Abu Dhabi, UAE","Government, BFSI, retail, telecom enterprises"
125,Refroid Technologies,Data Center Cooling & Thermal Management,"Liquid cooling systems, immersion cooling pods, battery thermal management",$27.8K,Satya Bhavaraju,Srikanth Kanduri,"Hyderabad, India","Data centers, HPC environments, EV manufacturers"
126,SAF Tehnika,Wireless Backhaul & IoT Solutions,"Microwave radios, spectrum analyzers, Aranet IoT sensors",$28.9M,Normunds Bergs,Didzis Liepkalns,"Riga, Latvia","Mobile operators, ISPs, government agencies"
127,Sama X,Satellite Internet & Connectivity Solutions,"Starlink-based broadband, maritime connectivity, enterprise data plans",,Amit Somani,Not listed,"Dubai, UAE","Governments, enterprises, remote communities"
128,"SHANDONG HUAXIN COMMUNICATION TECHNOLOGY CO.,LTD.",Fiber Optic Cable & Passive Components,"FTTH cables, patch cords, coaxial cables, 5G ancillary equipment",$14M,Zhang Lizhi,Not listed,"Zibo, Shandong, China","China Telecom, SARFT, global OEMs"
129,"Shenzhen Sopto Technology Co., Ltd",Optical Networking & ICT Solutions,"GPON/EPON, fiber transceivers, media converters, structured cabling",$27M,Not listed,Not listed,"Shenzhen, Guangdong, China","ISPs, data centers, telecom operators"
130,"Shinkwang I&C Co., Ltd.",Fiber Optic Components & FTTH Solutions,"Optical patch cords, PLC splitters, termination boxes, media converters",,Joung Sup Kim,Not listed,"Uiwang, Gyeonggi-do, South Korea","Telecom operators, data centers, military communication projects"
131,"Sichuan Yuantong Communicaion Co.,Ltd",Fiber Optic Cable & Communication Equipment,"Indoor/outdoor fiber optic cables, submarine cables, optical accessories",$300M,He Qingyun,Not listed,"Chengdu, Sichuan, China","China Telecom, China Mobile, global ISPs"
132,SKYLINE&TELARVO,Security & Network Management Solutions,"Brinks Home Security systems, OSS solutions for telecom and broadcast",$11.78M,Edwin Arroyave,Not listed,"Los Angeles, USA & Izegem, Belgium","Brinks Home Security, telecom operators, broadcasters"
133,SMPH Consulting INC. (Operating as WYRED),Private 5G Networks & Edge Solutions,"KYRO private LTE/5G platform, edge computing, IoT integration",,Shaun Mohammed,Paul Howarth,"Barrie, Ontario, Canada","Mining, energy, industrial automation sectors"
134,"Spideradio Telecommunication Technology Co., Ltd.",Wireless Access & Small Cell Solutions,"4G/5G base stations, mDAS, converged EPC & IMS platforms",$29.7M,Donnie Zee,Not listed,"Suzhou, Jiangsu, China","Mobile operators, IoT solution providers, smart city projects"
135,Suncomms Innovation Technology Co. Limited,Mission-Critical Communications & PTX Solutions,"Push-to-Talk over Cellular (PTX), MCX-ready terminals, dispatch systems",,Mohammed Shah,Not listed,Hong Kong SAR,"Public safety, emergency services, transportation, utilities"
136,Sunwin Trading FZCO,Mobile Device Distribution,"Apple iPhones, accessories, telecom trading",$35.36M,Not listed,Mary Flynn,"Dubai Airport Free Zone, UAE","GCC retailers, global resellers"
137,Sure Triumph Industrial Limited,Wireless CPE & Network Products,"4G/5G CPE devices, ODM/OEM network solutions",,Ziqiang Peng,Not listed,"Sha Tin, Hong Kong SAR","Telecom operators, enterprise connectivity providers"
138,"Suzhou Sutuo Communication Technology Co., Ltd",Optical Modules & Data Center Solutions,"High-speed optical transceivers (100G–800G), network cabinets, ODN devices",,Liu Bin,Not listed,"Suzhou, Jiangsu, China","Telecom operators, cloud data centers, equipment manufacturers"
139,SYROTECH NETWORKS,Fiber Optic & Networking Solutions,"GPON/FTTH solutions, optical transceivers, structured cabling",$24.8M,Anil Mittal,Not listed,"Noida, Uttar Pradesh, India","ISPs, data centers, telecom operators"
140,Tarana Wireless,Fixed Wireless Access & Broadband Solutions,"ngFWA platform (G1/G2), cloud-managed broadband systems",$1B,Basil Alwan,Dale Branlund,"Milpitas, California, USA",300+ ISPs across 24 countries
141,"TBK Telecom Co., Limited",Mobile phone distribution and trading,"OEM and branded smartphones, tablets, gaming products, IT products, accessories",Private company; financials not disclosed,Tuncay Aktay,Not publicly listed,"Kowloon Bay, Hong Kong","Retailers, distributors, wholesalers across Asia, Middle East, and Africa"
142,Telecom Worldwide Magazine Ltd.,Publishing and media,Trade magazines and B2B advertising for telecom and electronics industries,,Yu Wang So (Director),Not listed,"San Po Kong, Kowloon, Hong Kong","Telecom and electronics companies, government bodies, trade show participants"
143,Teletimes Media L.L.C.,"Telecom, Satellite, and ICT media","Industry publications, event coverage, research reports",Estimated revenue $5M (2023),Khalid Athar (Chief Editor),Not listed,"Dubai, UAE","Telecom operators, ICT companies, event organizers"
144,Tempo Communications,Test and measurement solutions for telecom,"Network analyzers, fiber tools, splicers, locators, wire tracing products",Estimated revenue $21M–$26.7M,Jason Butchko,Not listed,"Vista, California, USA","Telecom service providers, network installers"
145,Tianqi Satellite,,,,,,China,
146,TierOne,Telecom & IT solutions,"OSS/BSS solutions, network automation, virtualization, managed services",$10–15M,Not explicitly listed,Not listed,"Mississauga, Ontario, Canada",Telecom service providers globally
147,TRIGIANT,Communication equipment manufacturing,"Feeder cables, optical fiber cables, flame-retardant cables, RF components",Market Cap ~$75.8M; Revenue ~$335M (2024),Lirong Qian,Guo Qiang Jiang,"Yixing, Jiangsu, China","Telecom operators, infrastructure providers"
148,TrueConf,Video conferencing & unified communications,"Secure video conferencing software, VoIP, collaboration tools",$7.3M–$21M,Dmitry Odintsov,Stanislav Soldatov,"Moscow, Russia","Enterprises, government, education, healthcare"
149,ULAK COMMUNICATIONS,Telecom infrastructure & defense-grade communication,"4.5G/5G base stations, SD-WAN, SD-DC, SD-Security",~$4.4M,Zafer Orhan,Aziz Sever,"Ankara, Turkey","Turk Telekom, Turkcell, Vodafone, Turkish government projects"
150,Ulefone,Rugged smartphones & accessories,"Rugged Android smartphones (IP68/IP69K, MIL-STD-810H), tablets",~$39.9M,Ansen Xiong,Not listed,"Shenzhen, China","Outdoor professionals, industrial sectors"
151,Velter LLC,Digital privacy & security products,"Faraday bags, signal-blocking cases, RFID protection wallets",,Not publicly listed,Not listed,"Ajman, UAE","Government agencies, security firms, privacy-conscious consumers"
152,VOIPTECH SOLUTIONS,VoIP & telecom solutions,"VoIP platforms, SMS services, DID & TFN, cloud call center systems",$4.1M,Dwivendu Moharana,Not listed,"Bhubaneswar, India",500+ global clients across telecom and enterprise sectors
153,"WANMA TECHNOLOGY CO., LTD.",Communication & medical information equipment,"Optical fiber products, telecom cabinets, data center solutions",Market Cap ~¥5.9B (~$810M); Revenue ~¥552M (2024),Nan Yan,Guo Qiang Jiang,"Hangzhou, China","China Mobile, China Telecom, ZTE, FiberHome"
154,Wasin Fujikura,Optical fiber & cable manufacturing,"Single-mode & multi-mode fibers, ADSS cables, FTTH solutions", $54M,Not listed,Not listed,"Nanjing, China","Telecom operators, industrial networks, global clients"
155,WINNCOM TECHNOLOGIES CAMBIUM NETWORKS,Wireless networking & broadband solutions,"Fixed wireless, Wi-Fi 6/6E, cnWave 60GHz, network management",Winncom revenue ~$67.4M; Cambium ~$300M+,Gregory Raskin,Not listed,"Solon, Ohio, USA","ISPs, telecom operators, enterprise networks"
156,"Wonderful Hi-Tech Co., Ltd.",Cable manufacturing,"LAN cables, fiber optic cables, automotive wires",Revenue NT$8.1B,Not listed,Not listed,Taiwan,"OEMs, telecom providers"
157,"XDK Communication Equipment (Huizhou) Co., Ltd",Fiber optic products,"Patch cords, adapters, splitters, ODFs",,Not listed,Not listed,"Huizhou, China",Telecom and data center clients
158,"Xiamen Four-Faith Communication Technology Co., Ltd.",IoT & industrial communication,"Industrial routers, LoRa, NB-IoT, 5G gateways",,Not listed,Not listed,"Xiamen, China","Smart city, utilities, transportation"
159,"Yealink Network Technology Co., Ltd.",Unified communications & collaboration,"IP phones, video conferencing, headsets",Revenue ¥5.62B,David Liu,Not listed,"Xiamen, China","Global enterprises, telecom operators"
160,Yeeka,Industrial IoT & smart locks,"Smart padlocks, Bluetooth locks, access control",$1M USD,Not listed,Not listed,"Wenzhou, China","Logistics, warehousing, utilities"
161,YONGATEK MICROELECTRONICS,Semiconductors & IoT,"MCUs, SoCs, smart metering chips",,Ali Baran,Not listed,China,"Smart grid, IoT integrators"
162,"Yuyao Simante Network Communication Equipment Co., Ltd - CN",Network hardware,"Patch panels, keystone jacks, faceplates",$1M USD,Not listed,Not listed,"Yuyao, China","OEMs, telecom installers"
163,Zen Networks,Network automation & monitoring,"NOC services, OSS/BSS, network analytics",,Fayçal Noushi,Not listed,France,"Telecom operators, ISPs"
164,"ZHEJIANG GUANGDA PUTE COMMUNICATION TECHNOLOGY CO.,LTD.",Fiber optic components,"Connectors, adapters, splitters",,Han Xueguang,Not listed,"Zhejiang, China",Telecom OEMs
165,"Zhuhai Gotech Intelligent Technology Co., Ltd.",Smart home & IoT devices,"Set-top boxes, smart TVs, IoT gateways",$4M,Not listed,Not listed,"Zhuhai, China","Broadcasters, telecom operators"
166,ZTT Middle East DMCC,Telecom cables & power solutions,"Fiber optic cables, power cables, OPGW",Part of ZTT Group (Revenue ~$3.5B),Not listed,Not listed,"Dubai, UAE","Utilities, telecom operators, EPCs"
